timestamp,open,high,low,close,volume
2024-05-06T00:00:00Z,1627.655,1658.685,1620.685,1653.885,59909
2024-05-07T00:00:00Z,1659.475,1671.485,1650.365,1663.685,24925
2024-05-08T00:00:00Z,1663.375,1663.655,1649.355,1657.655,14769
2024-05-09T00:00:00Z,1651.685,1658.665,1643.685,1649.685,22387
2024-05-10T00:00:00Z,1654.785,1661.565,1627.675,1632.665,26207
2024-05-13T00:00:00Z,1625.705,1626.345,1594.905,1599.685,37662
2024-05-14T00:00:00Z,1599.675,1606.955,1593.695,1595.665,21274
2024-05-15T00:00:00Z,1596.265,1601.685,1592.275,1593.685,15739
2024-05-16T00:00:00Z,1598.685,1603.565,1583.685,1598.185,29680
2024-05-17T00:00:00Z,1593.695,1610.265,1593.685,1608.685,28924
2024-05-20T00:00:00Z,1611.675,1626.675,1601.795,1602.685,31426
2024-05-21T00:00:00Z,1601.685,1603.415,1591.845,1598.685,16293
2024-05-22T00:00:00Z,1596.685,1603.645,1584.685,1591.395,20286
2024-05-23T00:00:00Z,1593.685,1600.065,1583.765,1585.695,18885
2024-05-24T00:00:00Z,1586.685,1588.685,1570.685,1570.765,20217
2024-05-27T00:00:00Z,1571.685,1581.135,1561.695,1563.805,25098
2024-05-28T00:00:00Z,1564.085,1568.855,1556.685,1558.325,23521
2024-05-29T00:00:00Z,1559.685,1573.685,1558.685,1567.685,19651
2024-05-30T00:00:00Z,1568.685,1569.065,1542.685,1542.685,32208
2024-05-31T00:00:00Z,1544.185,1557.185,1542.135,1542.135,21857
2024-06-03T00:00:00Z,1543.685,1544.605,1528.795,1533.075,30261
2024-06-04T00:00:00Z,1534.185,1549.685,1530.235,1546.885,20841
2024-06-05T00:00:00Z,1545.685,1552.365,1536.715,1537.685,19056
2024-06-06T00:00:00Z,1537.345,1545.675,1529.595,1533.495,25610
2024-06-07T00:00:00Z,1539.815,1539.865,1512.695,1512.865,33525
2024-06-11T00:00:00Z,1496.675,1498.685,1460.685,1462.685,70247
2024-06-12T00:00:00Z,1463.685,1483.685,1463.685,1465.365,33171
2024-06-13T00:00:00Z,1470.455,1470.575,1446.835,1448.695,36186
2024-06-14T00:00:00Z,1448.685,1457.645,1414.145,1448.685,59514
2024-06-17T00:00:00Z,1425.975,1442.455,1404.695,1435.185,48318
2024-06-18T00:00:00Z,1424.575,1448.225,1410.365,1415.185,41258
2024-06-19T00:00:00Z,1422.551,1428.561,1406.661,1425.561,41262
2024-06-20T00:00:00Z,1424.561,1440.571,1422.561,1424.661,24711
2024-06-21T00:00:00Z,1425.061,1429.541,1394.781,1395.561,43320
2024-06-24T00:00:00Z,1347.561,1413.551,1338.571,1401.111,63840
2024-06-25T00:00:00Z,1401.561,1427.551,1401.561,1411.211,42098
2024-06-26T00:00:00Z,1404.561,1425.631,1402.361,1413.781,29570
2024-06-27T00:00:00Z,1416.561,1418.531,1392.561,1415.051,32822
2024-06-28T00:00:00Z,1404.561,1419.051,1388.561,1391.951,38582
2024-07-01T00:00:00Z,1393.441,1397.551,1352.561,1364.941,32161
2024-07-02T00:00:00Z,1357.561,1422.561,1357.561,1415.261,51853
